k,eval_avg_p,eval_avg_r,eval_avg_f,conll_md_p,conll_md_r,conll_md_f,conll_muc_p,conll_muc_r,conll_muc_f,conll_bcub_p,conll_bcub_r,conll_bcub_f,conll_ceafe_p,conll_ceafe_r,conll_ceafe_f,conll_avg_f
97,99.36,98.82,99.09,100.0,99.95,99.97,99.98,99.94,99.96,99.78,99.74,99.76,99.95,99.91,99.93,99.8833
98,99.36,98.83,99.10,100.0,99.95,99.97,99.98,99.94,99.96,99.78,99.74,99.76,99.95,99.91,99.93,99.8833
99,99.37,98.84,99.10,100.0,99.95,99.97,99.98,99.94,99.96,99.78,99.74,99.76,99.95,99.91,99.93,99.8833
100,99.37,98.85,99.11,100.0,99.96,99.98,99.98,99.95,99.97,99.78,99.75,99.77,99.95,99.93,99.94,99.8933
101,99.38,98.86,99.12,100.0,99.96,99.98,99.99,99.96,99.97,99.99,99.89,99.94,99.96,99.94,99.95,99.9533
102,99.39,98.87,99.13,100.0,99.96,99.98,99.99,99.96,99.97,99.99,99.89,99.94,99.96,99.94,99.95,99.9533
103,99.39,98.88,99.14,100.0,99.96,99.98,99.99,99.96,99.97,99.99,99.89,99.94,99.96,99.94,99.95,99.9533
104,99.40,98.89,99.14,100.0,99.96,99.98,99.99,99.96,99.97,99.99,99.89,99.94,99.96,99.94,99.95,99.9533
105,99.40,98.90,99.15,100.0,99.96,99.98,99.99,99.96,99.97,99.99,99.89,99.94,99.96,99.94,99.95,99.9533
106,99.41,98.91,99.16,100.0,99.97,99.98,99.99,99.96,99.98,99.99,99.9,99.94,99.96,99.96,99.96,99.9600
107,99.41,98.92,99.17,100.0,99.97,99.98,99.99,99.97,99.98,99.99,99.96,99.97,99.99,99.97,99.98,99.9767
108,99.42,98.93,99.17,100.0,99.97,99.98,99.99,99.97,99.98,99.99,99.96,99.97,99.99,99.97,99.98,99.9767
109,99.43,98.94,99.18,100.0,99.98,99.99,99.99,99.98,99.98,99.99,99.97,99.98,99.99,99.97,99.98,99.9800
110,99.43,98.95,99.19,100.0,99.98,99.99,99.99,99.98,99.98,99.99,99.97,99.98,99.99,99.97,99.98,99.9800
111,99.44,98.96,99.20,100.0,99.98,99.99,99.99,99.98,99.98,99.99,99.97,99.98,99.99,99.97,99.98,99.9800
112,99.44,98.97,99.20,100.0,99.98,99.99,99.99,99.98,99.99,99.99,99.98,99.98,99.99,99.97,99.98,99.9833
113,99.45,98.98,99.21,100.0,99.98,99.99,99.99,99.98,99.99,99.99,99.98,99.98,99.99,99.97,99.98,99.9833
114,99.45,98.99,99.22,100.0,99.98,99.99,99.99,99.98,99.99,99.99,99.98,99.98,99.99,99.97,99.98,99.9833
115,99.46,98.99,99.22,100.0,99.98,99.99,99.99,99.98,99.99,99.99,99.98,99.98,99.99,99.97,99.98,99.9833
116,99.46,99.00,99.23,100.0,99.98,99.99,99.99,99.98,99.99,99.99,99.98,99.98,99.99,99.97,99.98,99.9833
117,99.46,99.01,99.24,100.0,99.98,99.99,99.99,99.98,99.99,99.99,99.98,99.98,99.99,99.97,99.98,99.9833
118,99.47,99.02,99.24,100.0,99.98,99.99,99.99,99.98,99.99,99.99,99.98,99.98,99.99,99.97,99.98,99.9833
119,99.47,99.03,99.25,100.0,99.98,99.99,99.99,99.98,99.99,99.99,99.98,99.98,99.99,99.97,99.98,99.9833
120,99.48,99.04,99.26,100.0,99.98,99.99,99.99,99.98,99.99,99.99,99.98,99.98,99.99,99.97,99.98,99.9833
121,99.48,99.04,99.26,100.0,99.98,99.99,99.99,99.98,99.99,99.99,99.98,99.98,99.99,99.97,99.98,99.9833
122,99.49,99.05,99.27,100.0,99.98,99.99,99.99,99.98,99.99,99.99,99.98,99.98,99.99,99.97,99.98,99.9833
123,99.49,99.06,99.27,100.0,99.98,99.99,99.99,99.98,99.99,99.99,99.98,99.98,99.99,99.97,99.98,99.9833
124,99.49,99.07,99.28,100.0,99.98,99.99,99.99,99.98,99.99,99.99,99.98,99.98,99.99,99.97,99.98,99.9833
125,99.50,99.07,99.29,100.0,99.98,99.99,99.99,99.98,99.99,99.99,99.98,99.98,99.99,99.97,99.98,99.9833
126,99.50,99.08,99.29,100.0,99.98,99.99,99.99,99.98,99.99,99.99,99.98,99.98,99.99,99.97,99.98,99.9833
127,99.51,99.09,99.30,100.0,99.98,99.99,99.99,99.98,99.99,99.99,99.98,99.98,99.99,99.97,99.98,99.9833
128,99.51,99.09,99.30,100.0,99.98,99.99,99.99,99.98,99.99,99.99,99.98,99.98,99.99,99.97,99.98,99.9833
129,99.51,99.10,99.31,100.0,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.97,99.98,99.9867
130,99.52,99.11,99.31,100.0,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.97,99.98,99.9867
131,99.52,99.11,99.32,100.0,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.97,99.98,99.9867
132,99.52,99.12,99.32,100.0,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.97,99.98,99.9867
133,99.53,99.13,99.33,100.0,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.97,99.98,99.9867
134,99.53,99.13,99.33,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
135,99.54,99.14,99.34,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
136,99.54,99.15,99.34,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
137,99.54,99.15,99.35,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
138,99.55,99.16,99.35,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
139,99.55,99.17,99.36,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
140,99.55,99.17,99.36,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
141,99.56,99.18,99.37,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
142,99.56,99.18,99.37,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
143,99.56,99.19,99.37,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
144,99.56,99.19,99.38,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
145,99.57,99.20,99.38,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
146,99.57,99.21,99.39,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
147,99.57,99.21,99.39,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
148,99.58,99.22,99.40,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
149,99.58,99.22,99.40,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
150,99.58,99.23,99.40,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
151,99.58,99.23,99.41,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
152,99.59,99.24,99.41,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
153,99.59,99.24,99.42,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
154,99.59,99.25,99.42,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
155,99.60,99.25,99.42,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
156,99.60,99.26,99.43,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
157,99.60,99.26,99.43,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
158,99.60,99.27,99.43,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
159,99.61,99.27,99.44,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
160,99.61,99.28,99.44,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
161,99.61,99.28,99.44,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
162,99.61,99.28,99.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
163,99.62,99.29,99.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
164,99.62,99.29,99.46,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
165,99.62,99.30,99.46,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
166,99.62,99.30,99.46,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
167,99.62,99.31,99.46,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
168,99.63,99.31,99.47,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
169,99.63,99.31,99.47,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
170,99.63,99.32,99.47,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
171,99.63,99.32,99.48,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
172,99.64,99.33,99.48,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
173,99.64,99.33,99.48,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
174,99.64,99.33,99.49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
175,99.64,99.34,99.49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
176,99.64,99.34,99.49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
177,99.65,99.34,99.50,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
178,99.65,99.35,99.50,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
179,99.65,99.35,99.50,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
180,99.65,99.36,99.50,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
181,99.65,99.36,99.51,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
182,99.66,99.36,99.51,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
183,99.66,99.37,99.51,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
184,99.66,99.37,99.51,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
185,99.66,99.37,99.52,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
186,99.66,99.38,99.52,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
187,99.66,99.38,99.52,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
188,99.67,99.38,99.52,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
189,99.67,99.39,99.53,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
190,99.67,99.39,99.53,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
191,99.67,99.39,99.53,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
192,99.67,99.40,99.53,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
193,99.68,99.40,99.54,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
194,99.68,99.40,99.54,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
195,99.68,99.41,99.54,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
196,99.68,99.41,99.54,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
197,99.68,99.41,99.55,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
198,99.68,99.41,99.55,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
199,99.69,99.42,99.55,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
200,99.69,99.42,99.55,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0000
